Movie;Song;Days after Movie Release;Chart Position
27 Dresses;Amy Winehouse - Valerie;79;50
Beastly;Natalia Kills - Wonderland;71;45
Easy A;OneRepublic - Good Life;37;26
Easy A;OneRepublic - Good Life;44;30
Easy A;OneRepublic - Good Life;50;28
Easy A;OneRepublic - Good Life;57;28
Easy A;OneRepublic - Good Life;64;29
Easy A;OneRepublic - Good Life;71;19
Easy A;OneRepublic - Good Life;78;20
Easy A;OneRepublic - Good Life;84;19
Easy A;OneRepublic - Good Life;91;19
Easy A;OneRepublic - Good Life;98;20
Fantastic Four;Ben Moody feat. Anastacia - Everything Burns;9;13
Fantastic Four;Ben Moody feat. Anastacia - Everything Burns;16;20
Fantastic Four;Ben Moody feat. Anastacia - Everything Burns;22;11
Fantastic Four;Ben Moody feat. Anastacia - Everything Burns;29;14
Fantastic Four;Ben Moody feat. Anastacia - Everything Burns;36;13
Fantastic Four;Ben Moody feat. Anastacia - Everything Burns;43;13
Fantastic Four;Ben Moody feat. Anastacia - Everything Burns;49;14
Fantastic Four;Ben Moody feat. Anastacia - Everything Burns;56;18
Fantastic Four;Ben Moody feat. Anastacia - Everything Burns;63;23
Fantastic Four;Ben Moody feat. Anastacia - Everything Burns;70;22
Fantastic Four;Ben Moody feat. Anastacia - Everything Burns;77;30
Fantastic Four;Ben Moody feat. Anastacia - Everything Burns;84;33
Fantastic Four;Ben Moody feat. Anastacia - Everything Burns;91;30
Fantastic Four;Ben Moody feat. Anastacia - Everything Burns;98;35
Friends with Benefits;Foster The People - Pumped Up Kicks;64;49
Friends with Benefits;Foster The People - Pumped Up Kicks;71;32
Friends with Benefits;Foster The People - Pumped Up Kicks;78;20
Friends with Benefits;Foster The People - Pumped Up Kicks;85;15
Friends with Benefits;Foster The People - Pumped Up Kicks;92;9
Friends with Benefits;Foster The People - Pumped Up Kicks;99;15
Kick-Ass;Ellie Goulding - Starry Eyed;30;46
Made of Honor (2008);Sara Bareilles - Love Song;16;13
Made of Honor (2008);Sara Bareilles - Love Song;22;22
Made of Honor (2008);Sara Bareilles - Love Song;29;19
